scope,dataset,strategy,rows,artifact_found_count,artifact_found_rate_pct,artifact_parse_ok_count,artifact_parse_ok_rate_pct,pass_count,fail_count,lexical_cosine_similarity_avg,lexical_cosine_similarity_median,token_cosine_similarity_avg,token_cosine_similarity_median,artifact_line_count_avg,canonical_line_count_avg,line_count_delta_avg,artifact_ast_node_count_avg,canonical_ast_node_count_avg,ast_node_count_delta_avg,artifact_cyclomatic_proxy_avg,canonical_cyclomatic_proxy_avg,cyclomatic_proxy_delta_avg,artifact_max_control_nesting_depth_avg,canonical_max_control_nesting_depth_avg,max_control_nesting_depth_delta_avg
dataset_strategy,bigcodebench,agentic,200,50,25.0,46,23.0,26,24,0.6475484456854012,0.669918523308437,0.9054233052984857,0.9286570895958578,42.3,15.025,26.24,138.65217391304347,116.57788944723617,12.391304347826088,3.891304347826087,3.090452261306533,0.34782608695652173,1.4565217391304348,1.1457286432160805,0.1956521739130435
dataset_strategy,bigcodebench,agentic_no_planner,200,53,26.5,50,25.0,29,24,0.639048577148772,0.663167260734781,0.9044986528782082,0.9237881133195525,43.60377358490566,15.025,27.471698113207548,134.26,116.57788944723617,9.4,3.82,3.090452261306533,0.28,1.42,1.1457286432160805,0.18
dataset_strategy,bigcodebench,agentic_plus_verifier,200,50,25.0,50,25.0,33,17,0.6348892508748796,0.6620855803514565,0.9179121245420121,0.9270787999236642,45.94,15.025,29.88,141.82,116.57788944723617,15.5,3.9,3.090452261306533,0.36,1.48,1.1457286432160805,0.24
dataset_strategy,bigcodebench,monolithic,200,57,28.5,57,28.5,28,29,0.7953806745601082,0.8103780623732053,0.9179757540210279,0.9227873843998375,18.210526315789473,15.025,2.087719298245614,133.8421052631579,116.57788944723617,7.912280701754386,3.9298245614035086,3.090452261306533,0.49122807017543857,1.4210526315789473,1.1457286432160805,0.17543859649122806
dataset_strategy,humaneval,agentic,164,10,6.097560975609756,10,6.097560975609756,10,0,0.8910416737907088,0.9177778238580756,0.83459482611008,0.8222350426217959,17.1,18.5,0.8,66.5,64.84756097560975,5.8,3.4,3.6646341463414633,0.4,2.1,1.6158536585365855,0.3
dataset_strategy,humaneval,agentic_no_planner,164,10,6.097560975609756,10,6.097560975609756,10,0,0.903628046152632,0.9487685364296602,0.8506140336040797,0.8524994871102072,16.4,18.5,0.1,62.7,64.84756097560975,2,3.3,3.6646341463414633,0.3,2,1.6158536585365855,0.2
dataset_strategy,humaneval,agentic_plus_verifier,164,9,5.487804878048781,9,5.487804878048781,9,0,0.886860033661574,0.90687921276323,0.8363361373608305,0.8255470603902662,17.333333333333332,18.5,1.1111111111111112,65.88888888888889,64.84756097560975,6.555555555555555,3.3333333333333335,3.6646341463414633,0.5555555555555556,2,1.6158536585365855,0.4444444444444444
dataset_strategy,humaneval,monolithic,164,16,9.75609756097561,16,9.75609756097561,16,0,0.6182793063529364,0.6088577539250595,0.8540964635249629,0.8711777859009912,8.6875,18.5,-6.75,61.3125,64.84756097560975,3.5,3.125,3.6646341463414633,0.1875,1.75,1.6158536585365855,0.1875
dataset_strategy,mbpp,agentic,200,50,25.0,50,25.0,9,1,0.5763873367175844,0.5413951355564368,0.7083950434682567,0.7012521922659678,10.32,5.675,4.78,62.56,48.39,15.24,3.52,2.7,0.6,1.36,1.095,0.22
dataset_strategy,mbpp,agentic_no_planner,200,50,25.0,50,25.0,43,7,0.5277530552902735,0.4794799689725153,0.7180031988260995,0.7043374861882783,12.16,5.675,6.62,58.82,48.39,11.5,3.34,2.7,0.42,1.16,1.095,0.02
dataset_strategy,mbpp,agentic_plus_verifier,200,62,31.0,62,31.0,52,10,0.5884018122704288,0.5674194909096226,0.7232185512964189,0.7238451574546374,9.85483870967742,5.675,4.467741935483871,58.16129032258065,48.39,13.82258064516129,3.3548387096774195,2.7,0.6612903225806451,1.3064516129032258,1.095,0.27419354838709675
dataset_strategy,mbpp,monolithic,200,50,25.0,50,25.0,9,1,0.6024091878151416,0.5839974864311718,0.7131164986142068,0.6951153806630839,7.58,5.675,2.04,58.54,48.39,11.22,3.3,2.7,0.38,1.28,1.095,0.14
dataset_all_strategies,bigcodebench,all,800,210,26.25,203,25.375,116,94,0.682515037461072,0.6878708973420768,0.9115705622560406,0.9263245105091998,36.957142857142856,15.025,20.86190476190476,137,116.57788944723617,11.16256157635468,3.8866995073891624,3.090452261306533,0.37438423645320196,1.4433497536945812,1.1457286432160805,0.19704433497536947
dataset_all_strategies,humaneval,all,656,45,6.859756097560975,45,6.859756097560975,45,0,0.796020142311879,0.812703721382035,0.8454368277730773,0.8622479818365827,14,18.5,-1.9777777777777779,63.68888888888889,64.84756097560975,4.288888888888889,3.2666666666666666,3.6646341463414633,0.3333333333333333,1.9333333333333333,1.6158536585365855,0.26666666666666666
dataset_all_strategies,mbpp,all,800,212,26.5,212,26.5,113,19,0.5745678837354554,0.5451558838202462,0.7161098454047459,0.7047130344037837,9.971698113207546,5.675,4.476415094339623,59.443396226415096,48.39,12.995283018867925,3.3773584905660377,2.7,0.5235849056603774,1.278301886792453,1.095,0.16981132075471697
